File,Location,Lines,Code,Element name,Element type
main.py,\main.py,9.0,LOGGER = logging.getLogger(__name__),main.py,Code
main.py,\main.py,18.0,"    LOGGER.exception(""Uncaught exception: {0}"".format(str(value)))",exception_handler,Function
main.py,\main.py,43.0,LOGGER.info(,main.py,Code
initialise_run.py,\engine\initialise_run.py,35.0,LOGGER = logging.getLogger(__name__),initialise_run.py,Code
initialise_run.py,\engine\initialise_run.py,64.0,"        LOGGER.info(f""{round(i / len(list_filepaths) * 100)}% of {settings.glob_location} templates processed"")",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,73.0,"                    LOGGER.info(f""Ignored {filename} as this is a defaulted case"")",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,241.0,"                    print(f""{filename} added to misspelled files"")",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,244.0,"                    print(f'ignored ""{filename}"" as this is not approved or v13 or a more recent version is available')",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,248.0,"            print(f'""{filename}"" failed with ""{e}""')",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,277.0,"    pd_output_project_info.to_csv(settings.output_dir / ""all_pd_project_info.csv"")",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,278.0,"    ead_lgd_output_project_info.to_csv(settings.output_dir / ""all_ead_lgd_project_info.csv"")",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,279.0,"    files_not_run.to_csv(settings.output_dir / ""all_not_run.csv"")",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,295.0,"        pd.concat(deal_totals_output, axis=0).to_csv(settings.output_dir / ""deal_totals_output.csv"")",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,296.0,"        pd.concat(tranche_totals_output, axis=0).to_csv(settings.output_dir / ""tranche_totals_output.csv"")",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,297.0,"    misspelled_filenames.to_csv(settings.output_dir / ""misspelled_filenames.csv"")",batch_runs,Function
initialise_run.py,\engine\initialise_run.py,343.0,"    LOGGER.info(f""start {file_names_project[0]}"")",run_model,Function
initialise_run.py,\engine\initialise_run.py,348.0,"    LOGGER.info(""%s parameter file will be used"", settings.parameter_file_name)",run_model,Function
initialise_run.py,\engine\initialise_run.py,365.0,"            LOGGER.info(f""read {file_names_project[0]} from cache"")",run_model,Function
initialise_run.py,\engine\initialise_run.py,372.0,            pickle.dump(,run_model,Function
initialise_run.py,\engine\initialise_run.py,379.0,"            LOGGER.info(f""read {file_names_project[0]} from excel file"")",run_model,Function
initialise_run.py,\engine\initialise_run.py,387.0,"        LOGGER.info(f""read {file_names_project[0]} from cache"")",run_model,Function
initialise_run.py,\engine\initialise_run.py,395.0,        pickle.dump(,run_model,Function
initialise_run.py,\engine\initialise_run.py,404.0,"    pickle.dump(inputs_tuple, open(settings.saved_pickle_dir, ""wb""))",run_model,Function
initialise_run.py,\engine\initialise_run.py,446.0,"    LOGGER.info(""Deal data has been read in"")",run_model,Function
initialise_run.py,\engine\initialise_run.py,507.0,"    LOGGER.info(""Qualitative factors have been read in"")",run_model,Function
initialise_run.py,\engine\initialise_run.py,547.0,"    LOGGER.info(""Parameters have been read in"")",run_model,Function
initialise_run.py,\engine\initialise_run.py,631.0,"    LOGGER.info(""Simulation finalised and outputs saved"")",run_model,Function
logger.py,\engine\logger.py,34.0,        # Add the handlers to the LOGGER,setup_logger,Function
project_finance_it.py,\engine\project_finance_it.py,97.0,"    print(""start default parameter calculation"")",project_finance_it,Function
project_finance_it.py,\engine\project_finance_it.py,98.0,"    print(""Calculate PD"")",project_finance_it,Function
project_finance_it.py,\engine\project_finance_it.py,144.0,"    print(""start calculate EAD"")",project_finance_it,Function
project_finance_it.py,\engine\project_finance_it.py,149.0,"    print(""start LGD"")",project_finance_it,Function
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,22.0,LOGGER = logging.getLogger(__name__),cash_waterfall.py,Code
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,82.0,"        LOGGER.info(""Iterative calculation, year %d, "" + df_deal_info[""deal_name""][0], year)",iterative_equity_cash_covenants_default,Function
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,111.0,"        LOGGER.info(""Performing cash and equity calculation"")",iterative_equity_cash_covenants_default,Function
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,118.0,"        LOGGER.info(""Performing cash updates calculation"")",iterative_equity_cash_covenants_default,Function
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,175.0,"        LOGGER.info(""Performing revolving injection calculation"")",iterative_equity_cash_covenants_default,Function
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,191.0,"        LOGGER.info(""Performing debt servicing check"")",iterative_equity_cash_covenants_default,Function
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,273.0,"        LOGGER.info(""Performing cash sweep"")",iterative_equity_cash_covenants_default,Function
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,417.0,"        LOGGER.info(""Performing covenants check"")",iterative_equity_cash_covenants_default,Function
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,423.0,"        LOGGER.info(""Performing dividends payment calculation"")",iterative_equity_cash_covenants_default,Function
cash_waterfall.py,\engine\cash_waterfall\cash_waterfall.py,427.0,"        LOGGER.info(""Performing final cash & equity calculation"")",iterative_equity_cash_covenants_default,Function
